LAKE,LAKENAME,OLDLAKE,UTM X,UTM Y,FISH,BASIN,ELEVATION,AREA,PERIMETER,DEPTH,LITTORALTYPE,NPOINTS,NOTES,SURVEY DATE,SURVEYOR,SURVEYOR2
10269,AMPHIT1,Y,NA,NA,1,Amphitheater,3447,137772,1792,22.1,bedrock,4,NA,6/28/20,LG,NA
10268,AMPHIT1B,NA,NA,NA,1,Amphitheater,3469,25207,728,3.2,bedrock,1,NA,6/28/20,LG,NA
10232,AMPHIT2,Y,NA,NA,2,Amphitheater,3272,238544,2195,30,bedrock,5,NA,6/28/20,MKC,NA
10225,BARRET1,Y,NA,NA,1,Barrett Lakes,3493,28515,1057,12.5,bedrock,2,NA,6/29/20,MKC,NA
10224,BARRET2,Y,NA,NA,2,Barrett Lakes,3512,118430,1507,23,veg,4,NA,6/29/20,MKC,NA
10490,CENTER1,Y,NA,NA,1,Center,3395,22970,734,3,boulder,2,"10490 not in ""Lakes"" layer of Knapp database",7/4/20,MKC,RC
10488,CENTER2,Y,NA,NA,2,Center,3405,73241,1198,3,boulder,4,NA,7/4/20,MKC,RC
10237,DUMBLL1,NA,NA,NA,1,Dumbbell,3231,13374,557,8,veg,1,NA,6/27/20,MKC,LG
10235,UD,NA,NA,NA,2,Dumbbell,3386,159511,2486,26,bedrock,5,NA,6/27/20,MKC,NA
10238,SD1,NA,NA,NA,2,Dumbbell,3310,19080,778,11.5,bedrock,1,NA,6/27/20,LG,NA
10239,SD2,NA,NA,NA,2,Dumbbell,3310,9994,479,6.5,veg,1,NA,6/27/20,LG,NA
10240,DBLONG,NA,NA,NA,2,Dumbbell,3341,41713,1297,9,veg,3,NA,6/27/20,LG,NA
10385,GARDNR1A,NA,NA,NA,1,Gardiner,3223,113507,1464,30,bedrock,2,NA,7/11/20,MKC,NA
10386,GARDNR1B,NA,NA,NA,1,Gardiner,3130,27896,876,7,veg,2,NA,7/11/20,MKC,NA
10387,GARDNR1C,NA,NA,NA,1,Gardiner,3130,15600,557,6,veg,1,NA,7/11/20,MKC,NA
10391,GARDNR2A,NA,NA,NA,2,Gardiner,3214,95833,1390,21,bedrock,3,NA,7/10/20,MKC,NA
10390,GARDNR2B,NA,NA,NA,2,Gardiner,3210,13351,554,6,veg,1,NA,7/10/20,MKC,NA
10389,GARDNR2C,NA,NA,NA,2,Gardiner,3110,18076,584,5,veg,1,NA,7/10/20,MKC,NA
10247,UM1,NA,362799,4098205,1,Observation,3322,23180,942,18.1,bedrock,2,NA,6/26/20,MKC,NA
11435,UM2,NA,NA,NA,1,Observation,3237,10480,569,10.8,bedrock,1,perimeter and area reflect the sum of lakes 11435 and 10248,6/26/20,MKC,NA
10249,A,NA,NA,NA,1,Observation,3220,101241,1992,14.5,veg,5,NA,6/25/20,MKC,LG
10514,A.4,NA,NA,NA,1,Observation,3225,19083,571,7.5,bedrock,1,NA,6/25/20,MKC,LG
10250,UMLONG,NA,NA,NA,1,Observation,3335,23561,701,19.3,bedrock,2,NA,6/26/20,LG,NA
10525,MAGICALTARN,NA,NA,NA,1,Observation,3213,6792,403,5.8,bedrock,1,NA,6/26/20,LG,NA
10419,FJORD,NA,NA,NA,1,Sixty Lakes,3303,57057,1490,24,bedrock,3,NA,7/8/20,MKC,NA
10418,ISLAND,NA,NA,NA,1,Sixty Lakes,3280,66835,1427,NA,NA,2,NA,7/8/20,MKC,NA
20225,UPKERN1,Y,NA,NA,1,Upper Kern,3590,11040,421,2.5,boulder,1,NA,7/6/20,MKC,NA
20226,UPKERN1B,NA,NA,NA,1,Upper Kern,3650,30109,869,NA,bedrock,2,high-- only survey if time,7/6/20,MKC,NA
20224,UPKERN2,Y,NA,NA,2,Upper Kern,3530,14024,643,3,veg,1,NA,7/6/20,MKC,NA
20229,SOUTHAM,NA,NA,NA,2,Upper Kern,3640,108609,1493,13.7,boulder,3,high-- only survey if time,7/6/20,RC,NA
20230,SAMUP,NA,NA,NA,1,Upper Kern,3650,10391,424,5,boulder,1,NA,7/6/20,RC,NA
20228,UKLONG,NA,NA,NA,2,Upper Kern,3570,59874,1667,NA,veg,2,point 1 surveyed by RC; pt 2 surveyed by MKC,7/6/20,RC,MKC
20223,UPKERN2B,NA,NA,NA,2,Upper Kern,3470,22410,783,9.5,veg,1,NA,7/6/20,MKC,NA
20124,WRIGHT1B,NA,NA,NA,1,Wright Lakes,3530,21623,1050,2.5,bedrock,2,shallow-- only survey if extra time,7/5/20,MKC,RC
20125,WRIGHT1,Y,NA,NA,1,Wright Lakes,3510,21591,844,10.3,veg,2,NA,7/5/20,MKC,RC
20132,WRIGHT2B,NA,NA,NA,2,Wright Lakes,3530,19825,527,4.5,boulder,1,NA,7/5/20,LG,NA
20131,WRIGHT2,Y,NA,NA,2,Wright Lakes,3490,22507,597,6.9,veg,1,NA,7/5/20,LG,NA
10599,EASTLA1,Y,NA,NA,1,East Lake,3410,15550,579,7.5,boulder,1,NA,7/7/20,MKC,NA
10602,EASTLA2,Y,NA,NA,2,East Lake,3270,17188,534,7.5,veg,1,NA,7/7/20,MKC,NA
