 ,Label,Area,Mean
1,AMPHIT1_S_20150706_20150803.JPG (red),2.773,254.941
2,AMPHIT1_S_20150706_20150803.JPG (red),4.595,254.996
3,AMPHIT1_S_20150706_20150803.JPG (red),2.411,254.972
4,AMPHIT1_S_20150706_20150803.JPG (red),1.15,254.988
5,AMPHIT1_S_20150706_20150803.JPG (red),4.842,255
6,AMPHIT1_S_20150706_20150803.JPG (red),3.205,254.968
7,AMPHIT1_S_20150706_20150803.JPG (red),5.157,254.969
8,AMPHIT1_S_20150706_20150803.JPG (red),1.774,254.992
9,AMPHIT1_S_20150706_20150803.JPG (red),1.171,255
10,AMPHIT1_S_20150706_20150803.JPG (red),1.082,255
11,AMPHIT1_S_20150706_20150803.JPG (red),1.24,255
12,AMPHIT1_S_20150706_20150803.JPG (red),1.116,254.975
13,AMPHIT1_S_20150706_20150803.JPG (red),15.71,254.992
14,AMPHIT1_S_20150706_20150803.JPG (red),1.075,255
15,AMPHIT1_S_20150706_20150803.JPG (red),1.507,254.886
16,AMPHIT1_S_20150706_20150803.JPG (red),16.737,254.976
17,AMPHIT1_S_20150706_20150803.JPG (red),2.185,255
18,AMPHIT1_S_20150706_20150803.JPG (red),1.972,254.979
19,AMPHIT1_S_20150706_20150803.JPG (red),1.959,254.923
20,AMPHIT1_S_20150706_20150803.JPG (red),11.553,255
21,AMPHIT1_S_20150706_20150803.JPG (red),1.507,254.964
22,AMPHIT1_S_20150706_20150803.JPG (red),1.644,254.996
23,AMPHIT1_S_20150706_20150803.JPG (red),1.212,254.921
24,AMPHIT1_S_20150706_20150803.JPG (red),1.917,254.982
25,AMPHIT1_S_20150706_20150803.JPG (red),4.006,254.998
26,AMPHIT1_S_20150706_20150803.JPG (red),2.945,255
27,AMPHIT1_S_20150706_20150803.JPG (red),35.001,254.855
28,AMPHIT1_S_20150706_20150803.JPG (red),1.671,255
29,AMPHIT1_S_20150706_20150803.JPG (red),4.013,254.935
30,AMPHIT1_S_20150706_20150803.JPG (red),5.862,254.996
31,AMPHIT1_S_20150706_20150803.JPG (red),1.068,255
32,AMPHIT1_S_20150706_20150803.JPG (red),1.048,254.941
33,AMPHIT1_S_20150706_20150803.JPG (red),1.014,255
34,AMPHIT1_S_20150706_20150803.JPG (red),20.305,254.991
35,AMPHIT1_S_20150706_20150803.JPG (red),3.232,254.998
36,AMPHIT1_S_20150706_20150803.JPG (red),1.137,255
37,AMPHIT1_S_20150706_20150803.JPG (red),2.575,254.995
38,AMPHIT1_S_20150706_20150803.JPG (red),5.725,254.894
39,AMPHIT1_S_20150706_20150803.JPG (red),3.034,254.962
40,AMPHIT1_S_20150706_20150803.JPG (red),1.048,254.993
41,AMPHIT1_S_20150706_20150803.JPG (red),7.916,254.952
42,AMPHIT1_S_20150706_20150803.JPG (red),16.134,254.983
43,AMPHIT1_S_20150706_20150803.JPG (red),1.014,255
44,AMPHIT1_S_20150706_20150803.JPG (red),1.678,255
45,AMPHIT1_S_20150706_20150803.JPG (red),1.63,254.979
46,AMPHIT1_S_20150706_20150803.JPG (red),1.041,255
47,AMPHIT1_S_20150706_20150803.JPG (red),18.839,254.986
48,AMPHIT1_S_20150706_20150803.JPG (red),1.26,255
49,AMPHIT1_S_20150706_20150803.JPG (red),2.109,254.984
50,AMPHIT1_S_20150706_20150803.JPG (red),1.582,255
51,AMPHIT1_S_20150706_20150803.JPG (red),1.308,255
52,AMPHIT1_S_20150706_20150803.JPG (red),1.835,255
53,AMPHIT1_S_20150706_20150803.JPG (red),21.195,254.832
54,AMPHIT1_S_20150706_20150803.JPG (red),1.301,255
55,AMPHIT1_S_20150706_20150803.JPG (red),3.267,254.935
