lake,round,location,direction,date_in,time_in,date_out,time_out,daysin,mayfly,fish,basin,lake_fish,ELEVATION,AREA,LITTORALTYPE
BARRET1,1,SM,N,2015-06-16T18:57:00Z,18:57,2015-07-04T09:55:00Z,9:55,18,2,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,SM,S,2015-06-16T18:57:00Z,18:57,2015-07-04T09:55:00Z,9:55,18,0,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,SM,E,2015-06-16T18:57:00Z,18:57,2015-07-04T09:55:00Z,9:55,18,1,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,SM,W,2015-06-16T18:57:00Z,18:57,2015-07-04T09:55:00Z,9:55,18,2,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,X,N,2015-06-16T19:14:00Z,19:14,2015-07-04T10:16:00Z,10:16,18,1,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,X,S,2015-06-16T19:14:00Z,19:14,2015-07-04T10:16:00Z,10:16,18,2,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,X,E,2015-06-16T19:14:00Z,19:14,2015-07-04T10:16:00Z,10:16,18,1,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET1,1,X,W,2015-06-16T19:14:00Z,19:14,2015-07-04T10:16:00Z,10:16,18,2,fishless,BARRET,3493 m; BARRET fishless,3493,28515,bedrock
BARRET2,1,SM,E,2015-06-16T18:56:00Z,18:56,2015-07-04T08:53:00Z,8:53,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
BARRET2,1,SM,W,2015-06-16T18:56:00Z,18:56,2015-07-04T08:53:00Z,8:53,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
BARRET2,1,SM,N,2015-06-16T18:54:00Z,18:54,2015-07-04T08:53:00Z,8:53,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
BARRET2,1,SM,S,2015-06-16T18:54:00Z,18:54,2015-07-04T08:53:00Z,8:53,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
BARRET2,1,X,N,2015-06-16T18:18:00Z,18:18,2015-07-04T09:20:00Z,9:20,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
BARRET2,1,X,S,2015-06-16T18:18:00Z,18:18,2015-07-04T09:20:00Z,9:20,18,0,fish-containing,BARRET,3512 m; BARRET fish-containing,3512,118430,veg
